First Name,Last Name,Street Number,Street,City,Province,Postal Code,Country,Phone Number,email Address
Alexander,Taylor,282,Aukland Place,Greater Sudbury,Prince Edward Island,,Canada,1068170776,Alexander@life.com
William,Miller,13,Bliss Street,Cape Breton,Nunavut,B3V 2V1,Canada,455127240,William@group.com
James,Brown,157,Bethany Way,Saint-Hyacinthe,New Brunswick,N8A 0B3,Canada,446897039,James@eye.com
"",Davis,163,Bayers Road,Blainville,Northwest Territories,E4S 3C4,Canada,137384711,null@night.com
"",,420,Blue Willow Court,Burnaby,New Brunswick,B2E 0X4,Canada,824854891,null@book.com
Mason,Davis,64,Bauer Street,Pickering,Prince Edward Island,"B0T 0Y5 ",Canada,1375163935,Mason@question.com
Mason,Miller,25,Bobolink Street,Surrey,Yukon,N8A 0B3,Canada,1068620423,Mason@book.com
Jacob,Jones,78,Campbell Drive,Sherbrooke,Prince Edward Island,L0N 3J2,Canada,852963410,Jacob@night.com
James,Brown,19,Chebucto Lane,North Bay,,G3E 2K4,Canada,1096724783,James@life.com
"",Jones,143,Church Street,Kingston,Alberta,V8B 1P6,Canada,447380838,null@story.com
Alexander,Brown,74,Cambridge Street,Medicine Hat,Northwest Territories,H3J 3P2,Canada,853851826,Alexander@word.com
Ethan,Davis,184,Allan Street,Halton Hills,New Brunswick,N8A 0B3,Canada,577192187,Ethan@way.com
Mason,Taylor,343,Bedford Row,Aurora,Saskatchewan,N4N 0B9,Canada,776830003,Mason@job.com
William,Wilson,215,Clinton Avenue,London,Nova Scotia,G6X 2L1,Canada,711633996,William@man.com
Liam,Thomas,492,Bedford Windsor Ramp,Sault Ste. Marie,Nova Scotia,B2E 0X4,Canada,1236653922,Liam@problem.com
Jacob,Miller,29,Ahern Avenue,Granby,New Brunswick,K1B 3B2,Canada,841016473,Jacob@part.com
Alexander,,428,Bland Street,Whitby,Yukon,J9T 3H4,Canada,752834791,Alexander@eye.com
William,Taylor,479,Aikenhead Road,Repentigny,Prince Edward Island,J9T 3H4,Canada,1337990700,William@child.com
James,Brown,239,Bauer Street,Strathcona County,Nova Scotia,T1L 2H8,Canada,825594651,James@time.com
James,Moore,35,Bayview Road,Aurora,Alberta,N8A 0B3,Canada,1291880319,James@home.com
Ethan,Moore,444,Bright Place,Sarnia,Quebec,N4N 0B9,Canada,439503404,Ethan@book.com
Liam,Jackson,144,Beech Street,Repentigny,Northwest Territories,G6X 2L1,Canada,652337837,Liam@year.com
Alexander,Jones,315,"Alm-../../view.php?place=Alm-# Ramp, Halifax, ns, CANADA Ramp",Saint-Hyacinthe,Northwest Territories,E4S 3C4,Canada,939555623,Alexander@place.com
Mason,Davis,455,Albion Road,Laval,Newfoundland and Labrador,J0N 0Z3,Canada,1085046973,Mason@way.com
Jacob,Davis,337,Birkdale Crescent,Caledon,Nunavut,L4A 0T0,Canada,694697762,Jacob@question.com
Alexander,,372,Berkshire Close,Granby,Nunavut,L3V 1Y8,Canada,531064899,Alexander@word.com
James,Jackson,189,Albert Place,Surrey,Alberta,N8A 0B3,Canada,364487310,James@day.com
Ethan,Brown,313,Alm-b Ramp,Blainville,Northwest Territories,E4M 2G2,Canada,396677377,Ethan@woman.com
Jacob,Anderson,438,Albion Road,Halton Hills,Prince Edward Island,"L4A 0T3 ",Canada,955572320,Jacob@night.com
James,Thomas,363,Basinview Drive,Caledon,Prince Edward Island,"V1K 1V0 ",Canada,1076017767,James@Mr.com
Alexander,Thomas,313,Birkdale Crescent,L̩vis,Prince Edward Island,L9R 0A0,Canada,809927634,Alexander@job.com
Jacob,Miller,371,Bald Eagle Place,Kelowna,Northwest Territories,J9P 1C6,Canada,1109453946,Jacob@null
