First Name,Last Name,Street Number,Street,City,Province,Postal Code,Country,Phone Number,email Address
William,Miller,259,Bauer Street,Saanich,Nunavut,J9T 3H4,Canada,1016034700,William@way.com
Mason,Thomas,160,Alm-c Ramp,Greater Sudbury,Manitoba,L3V 1Y8,Canada,817805475,Mason@place.com
William,Moore,15,Bedford Windsor Ramp,Airdrie,,J9T 3H4,Canada,202209697,William@family.com
Jacob,Jackson,255,Bayers Road,Greater Sudbury,Saskatchewan,B3V 2V1,Canada,1077910876,Jacob@book.com
Jacob,Moore,499,Armdale Rotary,Oshawa,Northwest Territories,L4A 0T0,Canada,1171023196,Jacob@problem.com
"",Moore,314,Bobolink Street,Brossard,Nunavut,G6X 2L1,Canada,144676611,null@place.com
Jacob,Williams,88,Ashton Lane,Terrebonne,Prince Edward Island,G3E 2K4,Canada,1214434970,Jacob@eye.com
Jacob,Thomas,461,Buddy Daye Street,Saanich,Quebec,G3E 2K4,Canada,117571316,Jacob@right.com
Ethan,Jones,86,Auburn Avenue,Burlington,Newfoundland and Labrador,N5C 2J8,Canada,531131724,Ethan@business.com
Ethan,Williams,500,Alm-e Ramp,Pickering,New Brunswick,N4N 0B9,Canada,1059791011,Ethan@job.com
Liam,,3,Cambridge Street,Surrey,New Brunswick,V8B 1P6,Canada,1203506565,Liam@job.com
Liam,Brown,479,Carlina Court,St. Albert,Prince Edward Island,L9R 0A0,Canada,911547743,Liam@business.com
Ethan,Anderson,382,Boscobel Road,Cape Breton,Nova Scotia,E4M 2G2,Canada,693732682,Ethan@story.com
James,Johnson,13,Cabot Street,Chatham-Kent,Alberta,K1B 3B2,Canada,366759117,James@time.com
Alexander,Anderson,63,Albemarle Street,Red Deer,Prince Edward Island,"B0T 0Y5 ",Canada,244309018,Alexander@month.com
Ethan,Jackson,44,Briar Lane,Saint John,Newfoundland and Labrador,N5C 2J8,Canada,509061572,Ethan@question.com
Mason,Williams,6,Cambridge Street,Aurora,Prince Edward Island,V8C 0S2,Canada,1143657341,Mason@year.com
"",Thomas,313,Autumn Drive,Burnaby,New Brunswick,V8C 0S2,Canada,745010923,null@place.com
"",Anderson,87,Barrington Street,Port Coquitlam,Nunavut,"L4A 0T3 ",Canada,710891652,null@place.com
Ethan,,346,Charlton Avenue,Victoria,Saskatchewan,"B0T 0Y5 ",Canada,594477499,Ethan@water.com
Liam,Jones,115,Cardiff Place,Red Deer,Nunavut,"V1K 1V0 ",Canada,366556407,Liam@man.com
Alexander,Anderson,71,Bilton Lane,Milton,Northwest Territories,L3V 1Y8,Canada,575618655,Alexander@life.com
James,Jackson,453,Chelmsford Place,Coquitlam,Nova Scotia,"V1K 1V0 ",Canada,400063507,James@Mr.com
William,Thomas,223,Ash Lake Court,Quebec City,Yukon,"B0T 0Y5 ",Canada,879159739,William@job.com
Jacob,Jones,190,Chocolate Lake Road,Vancouver,British Columbia,G0H 2P3,Canada,107100212,Jacob@year.com
