First Name,Last Name,Street Number,Street,City,Province,Postal Code,Country,Phone Number,email Address
Jacob,Taylor,40,Cabot Back Lane,Norfolk County,Alberta,E5V 3X5,Canada,739164664,Jacob@case.com
"",Taylor,391,Birch Cove Lane,Repentigny,British Columbia,,Canada,180789435,null@family.com
Alexander,Jackson,153,Alm-c Ramp,Chilliwack,Manitoba,N4N 0B9,Canada,1280095580,Alexander@place.com
Ethan,Jones,202,Birch Cove Lane,Saint John,Nova Scotia,J9P 1C6,Canada,590125528,Ethan@child.com
Liam,Thomas,321,Carroll Lane,Brantford,Manitoba,J0J 3V6,Canada,320560462,Liam@group.com
Mason,Johnson,430,Bridges Street,St. Catharines,Prince Edward Island,N8A 0B3,Canada,211637153,Mason@night.com
"",Anderson,202,Bermuda Avenue,Surrey,Alberta,K1B 3B2,Canada,844947137,null@right.com
Liam,Wilson,170,Breen Avenue,Vancouver,New Brunswick,N8A 0B3,Canada,490272313,Liam@world.com
Mason,Moore,493,Caitland Court,Saguenay,Prince Edward Island,L4A 0T0,Canada,353979132,Mason@part.com
James,Wilson,430,Beech Street,Drummondville,Nunavut,V8C 0S2,Canada,267287029,James@number.com
Alexander,Davis,379,Aikens Avenue,Strathcona County,Nunavut,"V1K 1V0 ",Canada,602941443,Alexander@right.com
"",Williams,364,Cairnwell Close,Grande Prairie,,"V1K 1V0 ",Canada,664627672,null@people.com
Liam,Moore,378,Banbury Close,Delta,Nunavut,G3H 0B4,Canada,553280787,Liam@room.com
Alexander,Davis,39,Brewer Court,Vaughan,Prince Edward Island,L4A 0T0,Canada,579854385,Alexander@country.com
"",Jones,200,Bedford Row,Victoria,Northwest Territories,J9T 3H4,Canada,489400753,null@year.com
Ethan,Jackson,21,Bluestone Road,Welland,Saskatchewan,H9S 1R4,Canada,1239367336,Ethan@null
