First Name,Last Name,Street Number,Street,City,Province,Postal Code,Country,Phone Number,email Address
William,Wilson,445,Chocolate Lake Road,Moncton,New Brunswick,,Canada,1302553828,William@question.com
James,Johnson,487,Attenborough Court,Saint John,Nova Scotia,H9S 1R4,Canada,1031580279,James@company.com
Ethan,Miller,327,Acadia Street,North Bay,Prince Edward Island,V8B 1P6,Canada,382379396,Ethan@null
Alexander,Jackson,353,Ardwell Avenue,North Vancouver,Nunavut,V8C 0S2,Canada,878049073,Alexander@mother.com
Jacob,Moore,311,Altavista Lane,Winnipeg,Yukon,T1L 2H8,Canada,1081979976,Jacob@month.com
"",,442,Bethany Way,Mirabel,New Brunswick,"V1K 1V0 ",Canada,568844649,null@government.com
Ethan,Wilson,288,Agricola Street,Windsor,Nova Scotia,L4A 0T0,Canada,1316295516,Ethan@student.com
Mason,Jones,131,Cabot Back Lane,Port Coquitlam,Manitoba,B2E 0X4,Canada,892978406,Mason@book.com
"",Jones,75,Bayview Road,Pickering,Prince Edward Island,L0N 3J2,Canada,361622153,null@word.com
Jacob,Moore,101,Cabot Back Lane,Guelph,Yukon,T1L 2H8,Canada,981214669,Jacob@state.com
Alexander,Taylor,24,Attenborough Court,Victoria,Prince Edward Island,G0H 2P3,Canada,135514774,Alexander@group.com
James,Anderson,451,Admirals Way,Saint John,Prince Edward Island,B3V 2V1,Canada,172084823,James@day.com
"",Johnson,69,Andrew Street,Blainville,Alberta,E7E 3T7,Canada,274161891,null@mother.com
William,Miller,436,Agricola Street,Caledon,Newfoundland and Labrador,N8H 2H6,Canada,1218961708,William@Mr.com
Alexander,Thomas,98,Chain Rock Drive,Cape Breton,Newfoundland and Labrador,T1L 2H8,Canada,1124677665,Alexander@fact.com
"",Jackson,486,Athlone Avenue,Brantford,Nova Scotia,V8B 1P6,Canada,1357534663,null@case.com
Jacob,Anderson,433,Cardiff Place,Edmonton,British Columbia,L9R 0A0,Canada,1157377451,Jacob@place.com
Ethan,Moore,184,Cartaret Street,Red Deer,Nova Scotia,H3J 3P2,Canada,1194776031,Ethan@people.com
William,,153,Armcrescent East Drive,Mirabel,Nunavut,H3J 3P2,Canada,1014516161,William@case.com
Mason,Williams,335,Birmingham Street,Saint-J̩r̫me,Northwest Territories,E7E 3T7,Canada,549207098,Mason@thing.com
