First Name,Last Name,Street Number,Street,City,Province,Postal Code,Country,Phone Number,email Address
James,Wilson,217,Abrams Way,Clarington,Northwest Territories,N8H 2H6,Canada,437836917,James@life.com
William,Anderson,145,Auburn Avenue,Newmarket,Northwest Territories,"V1K 1V0 ",Canada,609097988,William@point.com
Liam,Brown,452,Brunswick Street,St. Catharines,New Brunswick,N8A 0B3,Canada,283782517,Liam@point.com
Ethan,Wilson,290,Acadia Street,St. Catharines,Yukon,G3E 2K4,Canada,242014228,Ethan@day.com
Mason,Davis,461,Agricola Street,Brantford,Prince Edward Island,V8C 0S2,Canada,1065776014,Mason@story.com
Ethan,Anderson,100,Bower Road,Welland,Northwest Territories,K1B 3B2,Canada,720296814,Ethan@month.com
Liam,Johnson,167,Bedros Lane,Mississauga,,L3V 1Y8,Canada,632493588,Liam@right.com
"",Brown,356,Albemarle Street,Mississauga,Nunavut,H0H 3C9,Canada,753732086,null@month.com
Liam,Johnson,422,Church Street,North Bay,Northwest Territories,G3E 2K4,Canada,196598321,Liam@system.com
"",Davis,168,Catamaran Road,Burnaby,Prince Edward Island,B2E 0X4,Canada,863277283,null@thing.com
Ethan,Jones,9,Bedford Row,Welland,Saskatchewan,E5V 3X5,Canada,126448677,Ethan@case.com
Liam,Taylor,360,Cairnwell Close,Mirabel,Quebec,"B0T 0Y5 ",Canada,1307253616,Liam@Mr.com
Alexander,Taylor,356,Balmoral Road,Kitchener,Newfoundland and Labrador,G3H 0B4,Canada,565930318,Alexander@money.com
Ethan,Davis,381,Balmoral Road,Nanaimo,Nunavut,N8A 0B3,Canada,472000858,Ethan@government.com
Liam,Thomas,303,Cardiff Place,North Vancouver,Prince Edward Island,"B0T 0Y5 ",Canada,462615552,Liam@time.com
William,Jackson,418,Chelmsford Place,Strathcona County,Alberta,N5C 2J8,Canada,504775369,William@family.com
William,Brown,353,Blue Willow Court,Windsor,Nova Scotia,E4S 3C4,Canada,218223170,William@program.com
Mason,Taylor,319,Charlton Avenue,Strathcona County,Newfoundland and Labrador,"B0T 0Y5 ",Canada,1151068685,Mason@right.com
James,Johnson,159,Blenheim Terrace,Delta,Saskatchewan,"V1K 1V0 ",Canada,837855656,James@student.com
Jacob,Davis,412,Chocolate Lake Road,Aurora,Quebec,H9S 1R4,Canada,1336858980,Jacob@way.com
"",Jackson,53,Chebucto Lane,Regina,Prince Edward Island,E5V 3X5,Canada,566116355,null@woman.com
