First Name,Last Name,Street Number,Street,City,Province,Postal Code,Country,Phone Number,email Address
Ethan,Jones,197,Armview Terrace,Cambridge,Nunavut,V8C 0S2,Canada,754607146,Ethan@family.com
Ethan,Brown,115,Breen Avenue,New Westminster,Nunavut,H0H 3C9,Canada,1090976721,Ethan@year.com
Liam,Brown,473,Alm-a Ramp,Milton,Saskatchewan,B2E 0X4,Canada,673994427,Liam@government.com
Jacob,Moore,413,Alm-b Ramp,Norfolk County,Manitoba,E4M 2G2,Canada,1290982371,Jacob@state.com
Ethan,Williams,137,Briarwood Crescent,Drummondville,Nunavut,J9P 1C6,Canada,669981132,Ethan@government.com
"",Jones,219,,Ajax,Prince Edward Island,E4S 3C4,Canada,791209875,null@family.com
Jacob,Jackson,199,Cedar Street,Norfolk County,New Brunswick,L4A 0T0,Canada,672482365,Jacob@group.com
Mason,Jones,399,Bristol Place,St. Albert,Northwest Territories,N4N 0B9,Canada,1242770566,Mason@lot.com
William,Taylor,477,Chebucto Road,Cape Breton,Nunavut,H3J 3P2,Canada,624078163,William@eye.com
"",,250,Bristol Place,Victoria,Newfoundland and Labrador,"V1K 1V0 ",Canada,1036883380,null@group.com
Mason,Johnson,171,Albion Road,Saint-Jean-sur-Richelieu,Prince Edward Island,T1L 2H8,Canada,328046390,Mason@job.com
Alexander,Taylor,189,Charlton Avenue,Saint-Hyacinthe,Nunavut,N5C 2J8,Canada,216905434,Alexander@student.com
Jacob,Taylor,273,Alma Crescent,Grande Prairie,Prince Edward Island,J0N 0Z3,Canada,396617069,Jacob@null
Alexander,Davis,121,Charlton Avenue,North Vancouver,,J9P 1C6,Canada,171969818,Alexander@life.com
Alexander,,299,Armada Drive,Hamilton,Nova Scotia,L9R 0A0,Canada,1203241347,Alexander@story.com
